Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 6-27-2023 11:57AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  ClocknTrigger.ngd
output file: ClocknTrigger_pad.csv
Part type:   xc9572xl
Speed grade: -5
Package:     vq64

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O,,,,,,,,,,
P2,TIE,,I/O/GTS2,,,,,,,,,,
P3,VCC,,VCCINT,,,,,,,,,,
P4,TIE,,I/O,,,,,,,,,,
P5,Clock_sel,O,I/O/GTS1,OUTPUT,,,,,,,,,
P6,TIE,,I/O,,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,TIE,,I/O,,,,,,,,,,
P9,TIE,,I/O,,,,,,,,,,
P10,TIE,,I/O,,,,,,,,,,
P11,TIE,,I/O,,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,GND,,GND,,,,,,,,,,
P15,out_62MHz_clk,O,I/O/GCK1,OUTPUT,,,,,,,,,
P16,fastclk,GCK,I/O/GCK2,,,,,,,,,,
P17,TIE,,I/O/GCK3,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,trigger,I,I/O,INPUT,,,,,,,,,
P28,TDI,,TDI,,,,,,,,,,
P29,TMS,,TMS,,,,,,,,,,
P30,TCK,,TCK,,,,,,,,,,
P31,TIE,,I/O,,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
P33,Switches<0>,I,I/O,INPUT,,,,,,,,,
P34,Switches<1>,I,I/O,INPUT,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,VCC,,VCCINT,,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,reset,I,I/O,INPUT,,,,,,,,,
P40,clk_out,O,I/O,OUTPUT,,,,,,,,,
P41,GND,,GND,,,,,,,,,,
P42,Trig_sel,O,I/O,OUTPUT,,,,,,,,,
P43,clk_out_DC,O,I/O,OUTPUT,,,,,,,,,
P44,Trig_en,O,I/O,OUTPUT,,,,,,,,,
P45,TIE,,I/O,,,,,,,,,,
P46,TIE,,I/O,,,,,,,,,,
P47,TIE,,I/O,,,,,,,,,,
P48,TIE,,I/O,,,,,,,,,,
P49,SMA_TRIG_PORT<0>,O,I/O,OUTPUT,,,,,,,,,
P50,SMA_TRIG_PORT<1>,O,I/O,OUTPUT,,,,,,,,,
P51,SMA_TRIG_PORT<2>,O,I/O,OUTPUT,,,,,,,,,
P52,SMA_TRIG_PORT<3>,O,I/O,OUTPUT,,,,,,,,,
P53,TDO,,TDO,,,,,,,,,,
P54,GND,,GND,,,,,,,,,,
P55,VCC,,VCCIO,,,,,,,,,,
P56,TIE,,I/O,,,,,,,,,,
P57,TIE,,I/O,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,TIE,,I/O,,,,,,,,,,
P60,SMA_CLK_PORT<0>,O,I/O,OUTPUT,,,,,,,,,
P61,SMA_CLK_PORT<1>,O,I/O,OUTPUT,,,,,,,,,
P62,SMA_CLK_PORT<2>,O,I/O,OUTPUT,,,,,,,,,
P63,SMA_CLK_PORT<3>,O,I/O,OUTPUT,,,,,,,,,
P64,TIE,,I/O/GSR,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


